[125/1000] :: train loss: 0.03026, train acc: 0.96167, valid loss: 0.09207, valid acc: 0.76000
[126/1000] :: train loss: 0.02847, train acc: 0.96400, valid loss: 0.09079, valid acc: 0.78200
[127/1000] :: train loss: 0.03023, train acc: 0.95900, valid loss: 0.09030, valid acc: 0.77200
[128/1000] :: train loss: 0.02714, train acc: 0.96367, valid loss: 0.08281, valid acc: 0.79400
[129/1000] :: train loss: 0.02744, train acc: 0.96467, valid loss: 0.08687, valid acc: 0.77800
[130/1000] :: train loss: 0.02950, train acc: 0.95633, valid loss: 0.09025, valid acc: 0.78500
[131/1000] :: train loss: 0.02814, train acc: 0.96900, valid loss: 0.09156, valid acc: 0.78000
[132/1000] :: train loss: 0.02939, train acc: 0.96300, valid loss: 0.09543, valid acc: 0.74700
[133/1000] :: train loss: 0.02918, train acc: 0.96033, valid loss: 0.08583, valid acc: 0.79400
[134/1000] :: train loss: 0.02780, train acc: 0.96767, valid loss: 0.08971, valid acc: 0.77900
[135/1000] :: train loss: 0.02898, train acc: 0.96333, valid loss: 0.08952, valid acc: 0.77800
[136/1000] :: train loss: 0.02439, train acc: 0.96867, valid loss: 0.09072, valid acc: 0.77600
[137/1000] :: train loss: 0.02465, train acc: 0.97067, valid loss: 0.08583, valid acc: 0.77800
[138/1000] :: train loss: 0.02631, train acc: 0.97133, valid loss: 0.08224, valid acc: 0.80300
[139/1000] :: train loss: 0.02385, train acc: 0.97533, valid loss: 0.08615, valid acc: 0.79700
[140/1000] :: train loss: 0.02647, train acc: 0.96233, valid loss: 0.08852, valid acc: 0.78000
[141/1000] :: train loss: 0.03151, train acc: 0.96367, valid loss: 0.08922, valid acc: 0.77100
[142/1000] :: train loss: 0.02571, train acc: 0.97167, valid loss: 0.08726, valid acc: 0.76900
[143/1000] :: train loss: 0.02554, train acc: 0.97867, valid loss: 0.08658, valid acc: 0.78200
[144/1000] :: train loss: 0.03032, train acc: 0.95933, valid loss: 0.09597, valid acc: 0.75900
[145/1000] :: train loss: 0.02602, train acc: 0.97400, valid loss: 0.08662, valid acc: 0.78200
[146/1000] :: train loss: 0.02237, train acc: 0.97633, valid loss: 0.08047, valid acc: 0.80200
[147/1000] :: train loss: 0.02147, train acc: 0.97767, valid loss: 0.08304, valid acc: 0.78100
[148/1000] :: train loss: 0.02744, train acc: 0.97233, valid loss: 0.09089, valid acc: 0.77900
[149/1000] :: train loss: 0.02597, train acc: 0.97500, valid loss: 0.08561, valid acc: 0.78400
[150/1000] :: train loss: 0.02345, train acc: 0.97000, valid loss: 0.08274, valid acc: 0.79200
[151/1000] :: train loss: 0.02757, train acc: 0.96533, valid loss: 0.08853, valid acc: 0.79200
[152/1000] :: train loss: 0.02553, train acc: 0.96733, valid loss: 0.09293, valid acc: 0.77000
[153/1000] :: train loss: 0.02404, train acc: 0.97200, valid loss: 0.08775, valid acc: 0.79000
[154/1000] :: train loss: 0.02392, train acc: 0.96967, valid loss: 0.09121, valid acc: 0.76800
[155/1000] :: train loss: 0.02200, train acc: 0.98100, valid loss: 0.08562, valid acc: 0.79600
[156/1000] :: train loss: 0.02754, train acc: 0.96533, valid loss: 0.09237, valid acc: 0.78000
[157/1000] :: train loss: 0.02381, train acc: 0.97533, valid loss: 0.08929, valid acc: 0.77500
[158/1000] :: train loss: 0.02128, train acc: 0.97900, valid loss: 0.08554, valid acc: 0.80100
[159/1000] :: train loss: 0.02088, train acc: 0.98033, valid loss: 0.08730, valid acc: 0.77900
[160/1000] :: train loss: 0.02558, train acc: 0.96400, valid loss: 0.09042, valid acc: 0.76500
[161/1000] :: train loss: 0.02924, train acc: 0.96267, valid loss: 0.09759, valid acc: 0.74700
[162/1000] :: train loss: 0.02360, train acc: 0.97467, valid loss: 0.08781, valid acc: 0.76800
[163/1000] :: train loss: 0.02240, train acc: 0.97867, valid loss: 0.08565, valid acc: 0.79500
[164/1000] :: train loss: 0.02200, train acc: 0.97867, valid loss: 0.08957, valid acc: 0.78900
[165/1000] :: train loss: 0.02367, train acc: 0.96667, valid loss: 0.08958, valid acc: 0.77000
[166/1000] :: train loss: 0.02454, train acc: 0.97633, valid loss: 0.09237, valid acc: 0.77000
[167/1000] :: train loss: 0.02310, train acc: 0.97400, valid loss: 0.09277, valid acc: 0.76200
[168/1000] :: train loss: 0.02297, train acc: 0.98033, valid loss: 0.08837, valid acc: 0.77900
[169/1000] :: train loss: 0.02333, train acc: 0.97900, valid loss: 0.08755, valid acc: 0.77700
